pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory
1519397,1526877371,e,udp,192.168.100.150,55552,8.8.8.8,53,2,340,CON,1526877371,301,0.238455,0.238455,0,,,0.238455,0.238455,0.238455,,,,,1,1,81,259,4.193664,0,0,0,Normal,Normal
32571,1526348175,e,udp,192.168.100.6,49680,224.0.0.252,5355,2,132,INT,1526348175,3922,0.1061,0.1061,0,,,0.1061,0.1061,0.1061,,,,,2,0,132,0,9.425071,9.425071,0,0,Normal,Normal
49747611,1528097498,e s,tcp,192.168.100.150,5920,192.168.100.6,80,4,616,REQ,1528097550,229312,52.314911,0,0,,,0,0,0,,,,,4,0,616,0,0.057345,0.057345,0,1,DDoS,TCP
35166516,1528095746,e,tcp,192.168.100.5,0,192.168.100.3,0,145,106421,CON,1528095763,47884,17.860573,4.263388,0.975777,,,17.053551,2.575162,4.874952,,,,,145,0,106421,0,8.062451,8.062451,0,0,Normal,Normal
7821464,1528082571,e g,tcp,192.168.100.149,27116,192.168.100.3,80,9,822,RST,1528082621,74397,49.777828,0.145304,0.014895,,,0.435912,0.125316,0.161055,,,,,6,3,642,180,0.160714,0.100446,0.0403,1,DoS,TCP
120549,1526354513,e,udp,192.168.100.3,42205,205.251.195.199,53,2,446,CON,1526354513,18176,0.293528,0.293528,0,,,0.293528,0.293528,0.293528,,,,,1,1,155,291,3.40683,0,0,0,Normal,Normal
3324652,1528081588,e,tcp,192.168.100.3,49287,54.230.135.142,443,17,5215,FIN,1528081593,153917,5.094756,0.070654,0.049763,,,0.141308,0.020891,0.120417,,,,,9,8,969,4246,3.140484,1.570242,1.373962,0,Normal,Normal
4933054,1528081929,e s,tcp,192.168.100.149,10478,192.168.100.5,80,3,462,REQ,1528081973,189244,44.308815,0,0,,,0,0,0,,,,,3,0,462,0,0.045138,0.045138,0,1,DoS,TCP
21284979,1528085764,e,udp,192.168.100.150,10070,192.168.100.5,80,8,480,INT,1528085801,30375,37.276409,1.425483,2.019218,,,8.552898,0,4.475738,,,,,8,0,480,0,0.187786,0.187786,0,1,DoS,UDP
48908483,1528097286,e s,tcp,192.168.100.149,61452,192.168.100.6,80,4,616,REQ,1528097338,176669,52.450573,0,0,,,0,0,0,,,,,4,0,616,0,0.057197,0.057197,0,1,DDoS,TCP
